areacd,disability_3a-001,disability_3a-002
E00097579,27.2,72.8
E00097588,19.4,80.6
E00097591,16.9,83.1
E00097592,17.9,82.1
E00097593,15.2,84.8
E00097594,20.3,79.7
E00097595,15.8,84.2
E00097596,16.2,83.8
E00097598,12.7,87.3
E00097599,20.8,79.2
E00097626,25.2,74.8
E00097627,13.4,86.6
E00097628,35.3,64.7
E00097629,18.2,81.8
E00097630,15.6,84.4
E00097631,18.9,81.1
E00097632,27.1,72.9
E00097633,26.8,73.2
E00097634,13,87
E00097635,15.4,84.6
E00097636,10.5,89.5
E00097666,14.9,85.1
E00097667,13.8,86.2
E00097668,18.1,81.9
E00097669,14.6,85.4
E00097723,14.5,85.5
E00097724,17.7,82.3
E00097725,17.9,82.1
E00097726,16.4,83.6
E00097727,17.6,82.4
E00097728,20.4,79.6
E00097729,16.1,83.9
E00097730,8.9,91.1
E00097731,14.2,85.8
E00097742,13.6,86.4
E00097744,16.3,83.7
E00097745,13.7,86.3
E00097746,20.2,79.8
E00097756,15.8,84.2
E00097757,18.3,81.7
E00097758,18.9,81.1
E00097759,19.4,80.6
E00097760,19.9,80.1
E00097761,28.2,71.8
E00097770,20.3,79.7
E00097771,14.6,85.4
E00097772,25,75
E00097773,16.9,83.1
E00097774,9.8,90.2
E00097775,19.3,80.7
E00097776,12.1,87.9
E00097778,16.7,83.3
E00097779,17.2,82.8
E00097780,17.7,82.3
E00097781,16.3,83.7
E00097782,13.7,86.3
E00097783,17.6,82.4
E00097784,13.5,86.5
E00097785,15.4,84.6
E00097787,14.2,85.8
E00097810,11.1,88.9
E00097811,17.6,82.4
E00097812,23.9,76.1
E00097813,18.5,81.5
E00097814,13.7,86.3
E00097815,15.5,84.5
E00097816,14,86
E00097817,14.6,85.4
E00097846,18.8,81.2
E00097847,15.6,84.4
E00097848,17.8,82.2
E00097849,15.9,84.1
E00097850,15.8,84.2
E00097851,17.1,82.9
E00097853,21.4,78.6
E00097854,12.5,87.5
E00097855,19.3,80.7
E00097856,16.1,83.9
E00097857,17.4,82.6
E00097858,15.1,84.9
E00097859,21.8,78.2
E00097860,15.5,84.5
E00097861,19.4,80.6
E00097862,18.2,81.8
E00097863,22.1,77.9
E00097865,20.5,79.5
E00097866,31.1,68.9
E00097867,9.3,90.7
E00097868,17,83
E00097869,16.5,83.5
E00097870,10.2,89.8
E00097871,16.3,83.8
E00097872,14.2,85.8
E00097873,12.6,87.4
E00097874,16.3,83.7
E00097875,19.3,80.7
E00097876,14.1,85.9
E00097877,23.8,76.2
E00097878,15.3,84.7
E00097879,14.3,85.7
E00097880,21.5,78.5
E00097881,20.3,79.7
E00097882,28.7,71.3
E00097883,19.1,80.9
E00097884,25,75
E00097885,28.1,71.9
E00097886,16.5,83.5
E00097887,19.6,80.4
E00097888,26.9,73.1
E00097889,16.3,83.7
E00097890,28.4,71.6
E00097891,15.9,84.1
E00097892,12.1,87.9
E00097893,14.7,85.3
E00097894,14,86
E00097895,16.6,83.4
E00097896,16.9,83.1
E00097897,16.3,83.7
E00097898,22,78
E00097899,17.3,82.7
E00097900,12.5,87.5
E00097901,16.2,83.8
E00097902,27.9,72.1
E00097903,18.8,81.2
E00097904,18.5,81.5
E00097906,14.1,85.9
E00097907,16.6,83.4
E00097909,17.6,82.4
E00097910,20.2,79.8
E00097911,22.7,77.3
E00097912,10.5,89.5
E00097913,11.7,88.3
E00097914,14.1,85.9
E00097915,12.1,87.9
E00097916,15.9,84.1
E00097917,15.7,84.3
E00097918,21.3,78.7
E00097919,21.8,78.2
E00097920,12.8,87.2
E00097921,14.7,85.3
E00097922,19,81
E00097923,16.9,83.1
E00097924,20.7,79.3
E00097925,15.8,84.2
E00097926,18.8,81.3
E00097927,14,86
E00097928,20.3,79.7
E00097930,15.3,84.7
E00097931,17.7,82.3
E00097932,14.7,85.3
E00097933,9.7,90.3
E00097934,16.9,83.1
E00097935,19.1,80.9
E00097936,18.3,81.7
E00097937,22,78
E00097938,22,78
E00097939,14.1,85.9
E00097940,18.1,81.9
E00097941,12.5,87.5
E00097942,14.6,85.4
E00097943,14.8,85.2
E00097944,14.5,85.5
E00097945,31.1,68.9
E00097946,21,79
E00097947,20.3,79.7
E00097965,13.6,86.4
E00097966,24.7,75.3
E00097967,16.4,83.6
E00097968,12.4,87.6
E00097969,15.6,84.4
E00097970,14,86
E00097992,15.9,84.1
E00097993,20.2,79.8
E00097994,31.1,68.9
E00097995,14.5,85.5
E00097996,19.5,80.5
E00097997,15.6,84.4
E00097998,24.5,75.5
E00097999,21.4,78.6
E00098000,17.6,82.4
E00098001,14.9,85.1
E00098002,25,75
E00098003,11.9,88.1
E00098004,17.4,82.6
E00098005,16.5,83.5
E00098006,23.5,76.5
E00098007,11.7,88.3
E00098008,14.7,85.3
E00098009,17.2,82.8
E00098010,15.6,84.4
E00098011,19,81
E00098012,11.9,88.1
E00098013,15.6,84.4
E00098014,21.1,78.9
E00098015,14.2,85.8
E00098017,9.7,90.3
E00098074,15.3,84.7
E00098075,10.2,89.8
E00098077,12.5,87.5
E00098078,13.5,86.5
E00098080,16.5,83.5
E00098081,14.6,85.4
E00098082,14.4,85.6
E00127635,15.9,84.1
E00127640,16.2,83.8
E00127641,16.8,83.2
E00127727,20.7,79.3
E00127732,16.2,83.8
E00127736,15.6,84.4
E00140433,5.7,94.3
E00141336,18.2,81.8
E00141337,17.6,82.4
E00141338,13,87
E00141339,14.2,85.8
E00141340,13.8,86.2
E00141438,15.3,84.7
E00168541,9.5,90.5
E00168542,13.6,86.4
E00168544,12.3,87.7
E00168545,22,78
E00168548,19.1,80.9
E00168550,10.7,89.3
E00168552,14.9,85.1
E00168553,22.9,77.1
E00168554,15,85
E00168555,10.8,89.2
E00179287,12.9,87.1
E00179292,29.2,70.8
E00179295,15.2,84.8
E00179297,18.4,81.6
E00179309,17.9,82.1
E00179310,9.2,90.8
E00179316,26.1,73.9