geography_code,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E02000001,78.4,20,1.6
E02000038,78.8,17,4.3
E02000039,83.4,13.7,3
E02000040,83,14.4,2.6
E02000041,71.2,23.3,5.5
E02000042,69,24.8,6.2
E02000043,78.7,17.3,4
E02000044,74.2,20.9,4.9
E02000045,77.6,18.4,4
E02000046,72.9,22.4,4.8
E02000047,65.5,27.6,6.8
E02000048,81.3,15.9,2.8
E02000049,71.6,22.7,5.7
E02000050,77.5,18.4,4.2
E02000051,77,18.7,4.3
E02000052,80.5,16.8,2.6
E02000054,69.8,25,5.2
E02000055,68.7,26,5.3
E02000056,86.2,11.8,2
E02000057,76.9,18.5,4.6
E02000058,81.3,15.9,2.8
E02000059,63,29.9,7
E02000060,82.6,14.2,3.1
E02000061,75.2,20.2,4.7
E02000062,67.6,25.5,6.9
E02000063,68.1,25.3,6.6
E02000064,75.3,20.6,4.1
E02000093,59.3,32.7,8
E02000094,65.5,27.2,7.4
E02000095,58.7,32.8,8.5
E02000096,68.6,25.9,5.4
E02000097,62.9,29.8,7.3
E02000098,66.3,26.8,6.9
E02000099,58,33.5,8.4
E02000100,69.4,26.1,4.5
E02000101,68.8,24.3,6.9
E02000102,61.6,27.4,11
E02000103,69.2,24.1,6.7
E02000104,64.9,28.2,6.8
E02000105,59.9,32,8
E02000106,60.3,29.3,10.4
E02000107,68.1,25.5,6.4
E02000108,59.8,31.9,8.3
E02000110,73.3,21.6,5.1
E02000111,54.2,34.1,11.6
E02000112,63.1,27.7,9.2
E02000113,73.7,19.6,6.7
E02000114,67.7,25.6,6.7
E02000115,73.3,21.8,4.9
E02000116,64.1,25.9,9.9
E02000117,71.3,21.4,7.2
E02000118,50.7,33.4,15.9
E02000119,73.9,20,6.2
E02000120,74.9,20.9,4.2
E02000121,49.9,34.8,15.3
E02000122,79.7,16.8,3.5
E02000123,69.9,22.8,7.4
E02000124,81,16,2.9
E02000125,81.3,15.2,3.5
E02000126,75.8,20.2,4
E02000130,90,8.4,1.6
E02000131,86.3,11.8,1.9
E02000132,87.7,11,1.3
E02000135,85.5,11.9,2.6
E02000137,91.3,7.8,0.9
E02000138,90.8,8.5,0.7
E02000139,92.3,6.5,1.2
E02000141,90.3,8.1,1.6
E02000147,93.8,5.6,0.6
E02000150,94.8,4.4,0.7
E02000156,95.7,3.6,0.8
E02000166,89.8,9,1.2
E02000167,85.4,13.6,1
E02000168,87,11.2,1.8
E02000169,80.8,17.2,2
E02000170,80.2,17.5,2.3
E02000171,84.4,13.6,1.9
E02000172,79.9,15.7,4.4
E02000173,76.2,22.2,1.6
E02000174,84,13.8,2.2
E02000175,78.7,18.7,2.6
E02000176,79.4,19.2,1.4
E02000177,81,15.3,3.7
E02000178,75.8,20.1,4.1
E02000179,79,18.5,2.5
E02000180,80.1,16.9,3
E02000181,77.9,20.8,1.3
E02000182,72.2,23.7,4.1
E02000183,84,14.2,1.9
E02000184,75.8,20.4,3.8
E02000185,72.6,22.5,5
E02000186,77.7,19.8,2.5
E02000187,75.1,20.5,4.4
E02000188,73.5,21.6,4.9
E02000191,71.8,25.6,2.6
E02000192,78,17.9,4.1
E02000193,76.3,21.1,2.6
E02000194,87.5,10.4,2.1
E02000195,83.1,13.7,3.1
E02000196,76.2,18.8,5.1
E02000197,74.9,19.7,5.4
E02000198,80.1,14.7,5.2
E02000199,83.8,12.9,3.2
E02000200,84.4,12.8,2.8
E02000201,84.1,12.6,3.3
E02000202,73.6,19.9,6.4
E02000203,75.8,18.9,5.2
E02000204,72.1,22.1,5.8
E02000206,80.4,15.3,4.2
E02000207,88.2,9.4,2.3
E02000208,74.1,20.7,5.3
E02000209,68.8,25.4,5.8
E02000210,84.7,12.1,3.1
E02000211,91.1,7.7,1.1
E02000212,71.7,22.7,5.6
E02000213,74.8,20.3,4.9
E02000214,89.2,8.9,1.9
E02000215,77.7,18.2,4.1
E02000216,76.2,20.8,3
E02000217,76.6,19.3,4.1
E02000218,89.7,8.7,1.7
E02000219,91.7,7.2,1.2
E02000221,84.9,12.7,2.4
E02000222,86.5,11.8,1.7
E02000223,89.5,8.5,2
E02000224,85.6,11.9,2.5
E02000225,91.1,7.5,1.4
E02000226,91.1,7.8,1.1
E02000227,92.8,6.1,1
E02000228,93.9,5.6,0.5
E02000229,92.3,6.4,1.3
E02000230,88.7,9.6,1.7
E02000231,90.1,8.7,1.2
E02000232,94.9,4.3,0.8
E02000233,91.1,7.6,1.3
E02000234,91.1,7.7,1.2
E02000235,93.6,5.8,0.6
E02000236,94,5.4,0.6
E02000237,95.9,3.6,0.5
E02000238,65,28.4,6.6
E02000239,64.1,29.2,6.8
E02000240,67.6,26.3,6.1
E02000241,66.4,27.4,6.3
E02000242,60.2,31.5,8.3
E02000243,66.6,26,7.4
E02000244,64.4,28.6,7
E02000245,69.7,24.6,5.7
E02000246,68.6,25.4,6
E02000247,67.4,25.6,7
E02000248,62.3,30.7,7
E02000249,65.5,26.9,7.6
E02000250,83.6,14.3,2
E02000251,62.5,29.5,8
E02000252,67.9,26.9,5.2
E02000253,73.4,20.8,5.9
E02000254,54.9,33.5,11.5
E02000255,78.7,17.2,4.1
E02000256,75.9,20.4,3.7
E02000258,68.2,23.8,8
E02000259,77.8,18.4,3.8
E02000260,56.4,32,11.6
E02000261,68.5,26.4,5.2
E02000262,73.7,21.1,5.1
E02000263,55.5,32.3,12.1
E02000264,73.2,22.6,4.2
E02000265,75.7,19.2,5.1
E02000266,67.5,24.1,8.4
E02000267,77.9,17.7,4.4
E02000268,80.5,16.3,3.1
E02000269,81.6,15.5,2.8
E02000270,73,22.3,4.7
E02000271,83.5,14.9,1.6
E02000272,85.6,12.3,2.1
E02000275,59.5,29.3,11.2
E02000276,80,17.6,2.4
E02000308,71.5,22,6.6
E02000309,66.2,23,10.8
E02000311,65.5,25.4,9.1
E02000312,68.4,24.8,6.8
E02000345,77.2,16.4,6.4
E02000346,73.1,20.7,6.2
E02000347,77.7,15.5,6.8
E02000348,76,15.4,8.5
E02000350,78.5,16,5.6
E02000351,80.3,16,3.8
E02000352,83.2,12.4,4.4
E02000353,85.5,11.2,3.3
E02000354,79.8,14.3,6
E02000355,84.6,12.1,3.3
E02000356,86.5,10.8,2.8
E02000357,81.6,12.9,5.5
E02000358,79.8,15.4,4.8
E02000359,83.5,12.6,3.9
E02000360,79.9,14.8,5.3
E02000361,80.3,15.5,4.3
E02000362,85.4,11.2,3.4
E02000363,80.1,14.3,5.7
E02000364,85.5,11.3,3.2
E02000366,86.4,10.3,3.4
E02000367,83.5,13.6,2.9
E02000368,79.3,15.3,5.5
E02000369,79.1,16.5,4.4
E02000370,76.1,19.8,4.1
E02000372,73.5,22.6,4
E02000373,75.5,20.1,4.4
E02000374,78.1,19.1,2.8
E02000375,75.6,21.4,3
E02000376,74.9,22,3.1
E02000377,79.2,18.5,2.3
E02000378,74.1,22.9,3
E02000379,81.5,16.1,2.4
E02000380,83.1,15.1,1.8
E02000381,77.9,19.9,2.2
E02000382,79.4,17.9,2.7
E02000383,73.6,23.8,2.5
E02000384,74.6,22.3,3.1
E02000385,78.9,19.5,1.6
E02000386,76.7,19.9,3.4
E02000387,78,20.1,2
E02000388,79.1,19.3,1.6
E02000389,80.4,17.7,1.9
E02000390,81.1,16.5,2.3
E02000391,83.1,15.5,1.4
E02000392,82.7,15.6,1.7
E02000393,83.3,15.8,0.9
E02000394,80.4,17.6,1.9
E02000395,84.1,14.7,1.2
E02000396,80.9,16.8,2.3
E02000397,64.7,26.9,8.4
E02000398,65.4,22.7,11.9
E02000400,75.9,18.5,5.6
E02000401,70.8,19.4,9.9
E02000402,69.4,19.5,11.1
E02000403,61.6,29.3,9.1
E02000404,60.9,27.6,11.5
E02000405,89.9,8.6,1.5
E02000406,65.7,24.4,9.9
E02000407,64.2,23.6,12.2
E02000408,64.8,24.8,10.4
E02000409,68.8,21.6,9.7
E02000410,86.1,12.4,1.5
E02000411,66.8,24.8,8.4
E02000412,65.3,26,8.7
E02000413,86.4,11.6,2
E02000414,65.9,25.6,8.5
E02000415,64,26.9,9
E02000416,81.2,14.9,3.9
E02000417,87,11.3,1.7
E02000418,91.1,7.1,1.7
E02000419,65.1,25.3,9.6
E02000420,66,24.4,9.6
E02000421,64.9,22.5,12.6
E02000422,66.2,23.2,10.6
E02000423,66.6,23.3,10
E02000424,87.7,9.9,2.3
E02000425,72.5,18.9,8.6
E02000426,86.5,11.9,1.6
E02000427,71.3,22.3,6.4
E02000428,68.9,22.5,8.5
E02000429,86.8,11.6,1.6
E02000430,86.4,12.1,1.5
E02000431,85.6,12.9,1.5
E02000432,84.4,12.1,3.4
E02000434,75.8,20.1,4.1
E02000435,74.5,21,4.5
E02000436,84,13.9,2.1
E02000437,74.3,20.8,4.9
E02000438,77.2,19.1,3.8
E02000439,59.8,31.7,8.5
E02000440,73.4,22.1,4.5
E02000441,80.2,16.9,2.8
E02000442,52.7,36.7,10.6
E02000443,64.4,27.9,7.7
E02000444,59.7,32.8,7.5
E02000445,62.9,28.9,8.2
E02000447,75.1,21.6,3.3
E02000448,85.2,12.5,2.3
E02000449,57.3,32.5,10.1
E02000451,77.1,19.7,3.2
E02000452,62.9,30.3,6.8
E02000453,69.8,25.5,4.8
E02000454,84.1,14.2,1.7
E02000455,63.8,30.8,5.3
E02000456,72.2,23.1,4.7
E02000457,72.3,23.5,4.2
E02000459,64.1,29.1,6.8
E02000460,67.2,27.6,5.2
E02000461,76.1,19.9,3.9
E02000462,60.5,31.4,8.1
E02000463,67,27.2,5.8
E02000494,86.7,11.5,1.7
E02000495,79.4,17.7,2.9
E02000496,92.6,6.6,0.8
E02000497,87.9,10.8,1.3
E02000498,92.6,6.6,0.8
E02000499,88.1,10.4,1.6
E02000500,88.1,10.2,1.7
E02000501,88.8,9.7,1.5
E02000502,85.9,12.2,1.9
E02000503,89,9.5,1.5
E02000504,91.7,7.3,1.1
E02000506,86.1,12.1,1.8
E02000507,83.6,13.9,2.5
E02000508,78.2,19.4,2.4
E02000509,76.6,19.2,4.2
E02000510,81.7,15.7,2.5
E02000511,72.4,23.1,4.5
E02000512,76.2,19.2,4.7
E02000513,68,26.3,5.7
E02000514,59.8,32,8.1
E02000515,77.9,18.5,3.5
E02000516,65.1,28.2,6.7
E02000517,70.3,24,5.7
E02000518,80.3,15.7,3.9
E02000519,68.5,24,7.5
E02000520,67.2,25.7,7.1
E02000521,73,22.5,4.5
E02000522,80.1,16.4,3.5
E02000523,63.4,29.4,7.1
E02000524,74.9,20.5,4.6
E02000525,67.9,26.4,5.7
E02000526,83.2,14.9,1.9
E02000529,60.6,31.1,8.2
E02000530,63.9,28.1,8
E02000531,79.8,17.4,2.7
E02000532,84.7,13.5,1.8
E02000533,86.5,11.8,1.8
E02000534,75.8,20.8,3.4
E02000535,63.4,29.2,7.4
E02000536,63.5,28.2,8.2
E02000537,61.5,31.7,6.9
E02000538,65,27.5,7.4
E02000539,79.4,18,2.6
E02000540,68.3,25.7,6
E02000541,66.5,26.4,7.1
E02000542,65.1,28,6.9
E02000543,63.2,30,6.7
E02000544,71.1,23.9,5
E02000545,78.8,17.8,3.4
E02000546,63.4,29.2,7.3
E02000547,71.2,23.8,5
E02000548,74,21.1,4.9
E02000549,71.7,23.5,4.8
E02000550,72.1,23.3,4.6
E02000551,75.1,19.6,5.3
E02000552,76.1,19.8,4.1
E02000553,79.8,16.8,3.4
E02000554,81.9,14.5,3.6
E02000555,83.7,13.6,2.7
E02000556,81.6,15.3,3.1
E02000557,82.2,15.7,2.1
E02000558,73.9,19.7,6.5
E02000559,83.5,13.3,3.3
E02000560,76.9,19,4.1
E02000561,84.2,13.9,1.9
E02000562,84.7,12.4,2.8
E02000563,78,18.1,3.9
E02000564,78.1,19.5,2.5
E02000565,82.5,14.2,3.3
E02000566,86,12.4,1.6
E02000567,85.6,12,2.5
E02000568,78.1,18.4,3.5
E02000569,84.3,13,2.6
E02000570,87.1,11.9,1
E02000571,80.8,16.8,2.5
E02000572,76.5,18.6,4.9
E02000573,82.7,15.5,1.7
E02000574,78.8,18.8,2.4
E02000575,77,20.7,2.4
E02000576,77.9,19.4,2.8
E02000577,76.2,19.3,4.4
E02000578,81.1,15.9,3
E02000579,83.4,14.5,2.1
E02000580,81.2,15.8,3
E02000581,79.5,15.8,4.6
E02000582,77.2,21,1.8
E02000583,82.6,16.5,0.9
E02000584,78.1,20.3,1.6
E02000585,74.3,22.8,2.9
E02000586,70.8,26.9,2.2
E02000587,75.2,22.9,1.9
E02000588,74.5,23.9,1.6
E02000589,66.6,30.6,2.8
E02000590,74.7,23,2.4
E02000591,67.9,28.6,3.6
E02000592,71.9,26.9,1.3
E02000593,69.6,28,2.4
E02000594,81.2,17.2,1.5
E02000595,80.4,17.6,2
E02000596,76.5,22.3,1.2
E02000597,79.1,17.6,3.3
E02000598,86,12.7,1.3
E02000599,81.5,15.7,2.8
E02000600,79.1,18,2.9
E02000601,82.5,15,2.5
E02000602,78.2,18.3,3.5
E02000603,76.5,19.9,3.6
E02000604,76.9,18,5.1
E02000605,81.6,15,3.3
E02000606,81.1,16.7,2.2
E02000607,88.9,9.9,1.1
E02000608,82.9,14.9,2.2
E02000609,78.8,17.1,4.1
E02000610,84.7,12.9,2.4
E02000611,88.4,9.9,1.7
E02000612,86.1,11.8,2
E02000613,87.1,10.8,2.1
E02000614,75.2,20.3,4.5
E02000615,86.8,10.8,2.4
E02000616,89.9,8.8,1.3
E02000617,88.4,9.6,2
E02000619,81.1,15.1,3.8
E02000620,81.3,15.4,3.3
E02000621,76.4,20.3,3.3
E02000622,82.9,13.5,3.6
E02000623,76,18.5,5.5
E02000624,81.5,13.1,5.4
E02000625,75,19.9,5.1
E02000626,80.7,14.5,4.9
E02000627,81.2,14.7,4.1
E02000628,75.6,18.2,6.1
E02000629,86.4,11.7,1.9
E02000630,88.4,10,1.6
E02000631,85.5,11.3,3.2
E02000632,88.8,9.3,2
E02000633,83.4,13.1,3.5
E02000634,85.6,12.2,2.2
E02000635,88.5,9.7,1.8
E02000636,89.7,8.9,1.4
E02000637,85.5,11,3.5
E02000638,83.2,13.1,3.7
E02000639,76.4,18.7,4.9
E02000640,90,8.8,1.2
E02000641,81.1,14.8,4.1
E02000642,88,9.2,2.8
